Date,risk_free
2000-01-06,4.973
2000-01-07,4.912
2000-01-10,4.991
2000-01-11,4.966
2000-01-12,4.967
2000-01-13,4.962
2000-01-14,4.889
2000-01-17,4.948
2000-01-18,4.958
2000-01-19,4.955
2000-01-20,4.951
2000-01-21,4.892
2000-01-24,4.952
2000-01-25,4.94
2000-01-26,4.935
2000-01-27,4.95
2000-01-28,4.883
2000-01-31,5.073
2000-02-01,5.078
2000-02-02,5.065
2000-02-03,5.034
2000-02-04,4.948
2000-02-07,4.994
2000-02-08,4.966
2000-02-09,4.994
2000-02-10,4.997
2000-02-11,4.93
2000-02-14,5.132
2000-02-15,4.989
2000-02-16,4.988
2000-02-17,4.908
2000-02-18,4.818
2000-02-21,4.887
2000-02-22,4.883
2000-02-23,4.867
2000-02-24,4.868
2000-02-25,4.788
2000-02-28,4.906
2000-02-29,4.832
2000-03-14,5.118
2000-03-15,5.178
2000-03-20,5.183
2000-03-21,5.179
2000-03-22,5.171
2000-03-23,5.191
2000-03-24,5.208
2000-03-27,5.218
2000-03-28,5.222
2000-03-29,5.119
2000-03-31,5.276
2000-04-03,5.277
2000-04-04,5.271
2000-04-05,5.283
2000-04-06,5.717
2000-04-07,5.286
2000-04-10,5.292
2000-04-11,5.293
2000-04-12,5.355
2000-04-17,5.329
2000-04-18,5.323
2000-04-19,5.327
2000-04-20,5.339
2000-04-21,5.585
2000-04-24,5.337
2000-04-25,5.347
2000-04-26,5.41
2000-05-29,5.684
2000-05-30,5.702
2000-05-31,5.677
2000-06-01,5.664
2000-06-02,5.6
2000-06-08,5.658
2000-06-09,5.614
2000-06-14,5.657
2000-06-15,5.551
2000-06-22,5.537
2000-06-27,5.59
2000-06-28,5.539
2000-07-04,5.532
2000-07-05,5.436
2000-07-12,5.582
2000-07-13,5.608
2000-07-14,5.593
2000-07-17,5.612
2000-07-27,5.668
2000-07-28,5.674
2000-07-31,5.711
2000-08-01,5.714
2000-08-02,5.782
2000-08-03,5.701
2000-08-04,5.643
2000-08-08,5.612
2000-08-09,5.609
2000-08-10,5.607
2000-08-11,5.421
2000-08-14,5.625
2000-08-15,5.547
2000-08-17,5.663
2000-08-18,5.711
2000-08-21,5.701
2000-08-22,5.689
2000-08-23,5.629
2000-08-24,5.653
2000-08-25,5.686
2000-08-28,5.66
2000-08-29,5.699
2000-08-30,5.696
2000-08-31,5.721
2000-09-01,5.643
2000-09-05,5.609
2000-09-06,5.601
2000-09-11,5.598
2000-09-12,5.581
2000-09-13,5.617
2000-09-14,5.591
2000-09-15,5.593
2000-09-18,5.592
2000-09-19,5.588
2000-09-20,5.587
2000-09-21,5.604
2000-10-04,5.592
2000-10-05,5.599
2000-10-06,5.579
2000-10-12,5.618
2000-10-13,5.618
2000-10-16,5.627
2000-10-17,5.625
2000-10-18,5.624
2000-10-19,5.634
2000-10-20,5.627
2000-10-23,5.623
2000-10-24,5.621
2000-11-09,5.664
2000-11-10,5.927
2000-11-13,5.927
2000-11-14,5.715
2000-11-15,5.676
2000-11-16,5.678
2000-11-17,5.926
2000-11-20,5.686
2000-11-21,5.728
2000-11-22,5.727
2000-11-23,5.733
2000-11-24,5.733
2000-11-27,5.741
2000-11-28,5.73
2000-11-29,5.73
2000-12-04,5.701
2000-12-05,5.701
2000-12-07,5.615
2000-12-08,5.54
2000-12-12,5.627
2000-12-13,5.466
2000-12-14,5.623
2000-12-15,5.759
2000-12-18,5.627
2000-12-19,5.56
2000-12-21,5.595
2000-12-22,5.834
2000-12-25,5.834
2000-12-26,5.834
2000-12-27,5.582
2000-12-28,5.588
2000-12-29,5.786
2001-01-01,5.786
2001-01-02,5.577
2001-01-03,5.416
2001-01-04,5.352
2001-01-05,5.272
2001-01-08,5.229
2001-01-09,5.247
2001-01-10,5.257
2001-01-11,5.229
2001-01-12,5.361
2001-01-16,5.419
2001-01-17,5.341
2001-01-18,5.312
2001-01-19,5.338
2001-01-22,5.296
2001-01-23,5.283
2001-01-24,5.294
2001-01-25,5.305
2001-01-26,5.359
2001-01-29,5.293
2001-01-30,5.234
2001-01-31,5.229
2001-02-01,5.174
2001-02-02,5.297
2001-02-05,5.186
2001-02-06,5.194
2001-02-07,5.196
2001-02-08,5.201
2001-02-09,5.311
2001-02-12,5.212
2001-02-13,5.219
2001-02-14,5.225
2001-02-15,5.23
2001-02-16,5.326
2001-02-19,5.14
2001-02-20,5.187
2001-02-21,5.182
2001-02-22,5.141
2001-03-05,4.943
2001-03-06,4.909
2001-03-07,4.895
2001-03-08,4.802
2001-03-09,4.931
2001-03-12,4.846
2001-03-13,5.055
2001-03-14,4.646
2001-03-15,4.636
2001-03-16,4.724
2001-03-19,4.529
2001-03-20,4.493
2001-03-21,4.5
2001-03-22,4.494
2001-03-23,4.581
2001-03-26,4.536
2001-03-27,4.564
2001-03-28,4.581
2001-03-29,4.65
