Date,cad_ig_er_index,cad_ig_sprds,vix,us_hy_er_index,us_ig_er_index
2002-11-29,1.0143,69.8153,27.5,0.4183,1.015
2002-12-31,1.0146,77.3398,28.62,0.4134,1.0195
2003-01-31,1.0155,74.888,31.17,0.4285,1.0269
2003-02-28,1.0159,106.9295,29.63,0.4265,1.0303
2003-03-31,1.0142,117.3892,29.15,0.4406,1.0351
2003-04-30,1.0206,95.3759,21.21,0.4645,1.0508
2003-05-30,1.0221,98.6377,19.47,0.4562,1.0545
2003-06-30,1.0226,89.2583,19.52,0.4722,1.0586
2003-07-31,1.029,89.3653,19.49,0.4884,1.0591
2003-08-29,1.0299,76.5785,18.63,0.4911,1.0616
2003-09-30,1.0316,68.5642,22.72,0.4898,1.0674
2003-10-31,1.0324,72.0491,16.1,0.5074,1.0726
2003-11-28,1.0352,79.6939,16.32,0.5145,1.0767
2003-12-31,1.0384,66.9422,18.31,0.5215,1.0794
2004-01-30,1.0409,54.1434,16.63,0.527,1.0815
2004-02-27,1.0437,56.9911,14.55,0.5192,1.0815
2004-03-31,1.0423,64.7978,16.74,0.5179,1.0816
2004-04-30,1.0428,54.2266,17.19,0.5315,1.0824
2004-06-30,1.0395,62.2998,14.34,0.5297,1.0787
2004-07-30,1.04,68.3886,15.32,0.5318,1.0818
2004-08-31,1.0402,67.0551,15.29,0.5312,1.0851
2004-09-30,1.0411,67.4617,13.34,0.5376,1.089
2004-10-29,1.0414,66.6773,16.27,0.543,1.091
2004-11-30,1.0453,63.7929,13.24,0.557,1.0946
2004-12-31,1.0474,59.9732,13.29,0.5598,1.0987
2005-01-31,1.0485,58.3448,12.82,0.555,1.0994
2005-02-28,1.0501,55.963,12.08,0.5678,1.1018
2005-03-31,1.0501,59.0107,14.02,0.5531,1.0908
2005-04-29,1.0487,64.8292,15.31,0.5382,1.0858
2005-05-31,1.0515,62.2992,13.29,0.5412,1.0875
2005-06-30,1.0543,56.0973,12.04,0.5484,1.0897
2005-07-29,1.0574,54.1503,11.57,0.5657,1.0938
2005-08-31,1.0595,52.3634,12.6,0.5579,1.0932
2005-09-30,1.059,54.0686,11.92,0.5598,1.09
2005-10-31,1.0586,54.3681,15.32,0.5602,1.0859
2005-11-30,1.0581,60.2946,12.06,0.5604,1.087
2005-12-30,1.059,62.3236,12.07,0.5595,1.0867
2006-01-31,1.0579,58.7572,12.95,0.5701,1.0877
2006-02-28,1.0576,59.464,12.34,0.5731,1.091
2006-03-31,1.0569,59.6169,11.39,0.5828,1.0874
2006-04-28,1.0561,58.7984,11.59,0.5888,1.0881
2006-05-31,1.0565,59.4859,16.44,0.5885,1.0859
2006-06-30,1.0526,60.8809,13.08,0.5846,1.0838
2006-07-31,1.0533,63.8298,14.95,0.5831,1.0862
2006-08-31,1.0559,62.8265,12.31,0.584,1.0904
2006-09-29,1.0575,62.267,11.98,0.5868,1.0927
2006-10-31,1.0603,60.9881,11.1,0.5918,1.096
2006-11-30,1.0618,59.3404,10.91,0.5955,1.1006
2006-12-29,1.0619,58.409,11.56,0.607,1.0996
2007-01-31,1.0638,56.6989,10.42,0.6148,1.1014
2007-02-28,1.0665,54.4802,15.42,0.6132,1.1058
2007-03-30,1.0631,56.8919,14.64,0.6142,1.1
2007-04-30,1.0556,66.4799,14.22,0.619,1.1024
2007-05-31,1.0545,67.9946,13.05,0.6292,1.1012
2007-06-29,1.0494,71.2907,16.23,0.6182,1.0963
2007-07-31,1.0358,87.1666,23.52,0.5866,1.0809
2007-08-31,1.0312,96.7682,23.38,0.5854,1.0729
2007-09-28,1.0234,111.097,18.0,0.5975,1.0753
2007-10-31,1.0263,103.5735,18.53,0.5964,1.0798
2007-11-30,1.0025,138.9825,22.87,0.5661,1.0539
2007-12-31,1.0051,135.7776,22.5,0.5673,1.0547
2008-01-31,0.9966,143.9375,26.2,0.5459,1.0391
2008-02-29,0.9885,155.8427,26.54,0.5323,1.0285
2008-03-31,0.9694,179.8459,25.61,0.5269,1.0084
2008-04-30,0.9787,167.5598,20.79,0.5592,1.0355
2008-05-30,0.9846,162.5638,17.83,0.5678,1.0377
2008-06-30,0.9797,170.7623,23.95,0.5476,1.023
2008-07-31,0.9769,177.0386,22.94,0.5381,1.0111
2008-08-29,0.9627,198.1831,20.65,0.5333,1.0058
2008-09-30,0.9322,245.4849,39.39,0.4878,0.922
2008-10-31,0.8973,301.755,59.89,0.4106,0.8635
2008-11-28,0.8865,326.5419,55.84,0.3536,0.8534
2008-12-31,0.8441,386.8321,40.0,0.3683,0.8815
2009-01-30,0.8577,355.4325,44.84,0.4021,0.9121
2009-02-27,0.8542,344.7549,46.35,0.3917,0.8989
2009-03-31,0.8616,331.8192,44.14,0.3956,0.8761
2009-04-30,0.8896,288.9757,36.5,0.4517,0.9234
2009-05-29,0.9374,233.6605,28.92,0.487,0.9692
2009-06-30,0.9647,200.5282,26.35,0.502,0.9978
2009-07-31,0.9999,157.6175,25.92,0.5303,1.0365
2009-08-31,1.0087,150.8673,26.01,0.5355,1.0462
2009-09-30,1.0123,144.9414,25.61,0.5616,1.0566
2009-10-30,1.0315,126.1307,30.69,0.572,1.0645
2009-11-30,1.0295,130.9216,24.51,0.5698,1.0649
2009-12-31,1.0396,124.234,21.68,0.6043,1.0849
2010-01-29,1.0498,111.2745,24.62,0.6024,1.0855
2010-02-26,1.0547,108.6983,19.5,0.6011,1.0851
2010-03-31,1.062,104.3428,17.59,0.6252,1.0976
2010-04-30,1.0568,117.794,22.05,0.6332,1.106
2010-06-30,1.0383,141.4752,34.54,0.5966,1.0843
2010-07-30,1.0471,127.8197,23.5,0.6136,1.0981
2010-08-31,1.0383,141.16,26.05,0.6018,1.0978
2010-09-30,1.0478,123.2413,23.7,0.6198,1.1052
2010-10-29,1.0493,126.3864,21.2,0.6368,1.1083
2010-11-30,1.0503,128.8803,23.54,0.6338,1.107
2010-12-31,1.0569,124.6659,17.75,0.6571,1.117
2011-01-31,1.0665,116.7963,19.53,0.6717,1.1195
2011-02-28,1.0732,108.4381,18.35,0.681,1.1292
2011-03-31,1.0661,120.4594,17.74,0.6837,1.1284
2011-04-29,1.0696,115.2859,14.75,0.6863,1.1347
2011-05-31,1.0717,116.4105,15.45,0.6791,1.1334
2011-06-30,1.0679,121.1998,16.52,0.6748,1.1272
2011-07-29,1.0645,121.2426,25.25,0.6704,1.135
2011-08-31,1.0396,155.5471,31.62,0.6261,1.105
2011-09-30,1.0324,162.7261,42.96,0.5953,1.0888
2011-10-31,1.0374,159.9931,29.96,0.6361,1.1174
2011-11-30,1.0303,168.8691,27.8,0.6178,1.0874
2011-12-30,1.0317,165.3526,23.4,0.6281,1.1
2012-01-31,1.0383,154.2383,19.44,0.6445,1.1196
2012-02-29,1.0485,144.5811,18.43,0.6645,1.1372
2012-03-30,1.062,132.6773,15.5,0.6703,1.1376
2012-04-30,1.0584,138.7548,17.15,0.6676,1.1369
2012-05-31,1.0462,159.3879,24.06,0.6478,1.1262
2012-06-29,1.0464,159.7952,17.08,0.6638,1.1341
2012-07-31,1.0532,150.624,18.93,0.6697,1.1551
2012-08-31,1.0636,140.5421,17.47,0.6784,1.1592
2012-09-28,1.0716,131.5506,15.73,0.69,1.1709
2012-10-31,1.0769,128.6775,18.6,0.6972,1.188
2012-11-30,1.0796,125.1355,15.87,0.6991,1.18
2012-12-31,1.0859,122.1959,18.02,0.7133,1.1844
2013-01-31,1.0954,116.0873,14.28,0.7287,1.1834
2013-02-28,1.0992,113.4014,15.51,0.7286,1.1863
2013-04-30,1.1014,111.7043,13.52,0.742,1.1963
2013-05-31,1.1094,106.9756,16.3,0.7505,1.1886
2013-06-28,1.1049,114.9891,16.86,0.7389,1.1686
2013-07-31,1.1106,111.5302,13.45,0.7537,1.1797
2013-08-30,1.1109,115.587,17.01,0.7528,1.1771
2013-09-30,1.1084,117.8366,16.6,0.755,1.177
2013-10-31,1.1126,117.6732,13.75,0.7702,1.1887
2013-11-29,1.118,111.2398,13.7,0.7767,1.1902
2013-12-31,1.1226,110.5182,13.72,0.788,1.1992
2014-01-31,1.1244,108.8171,18.41,0.7829,1.2046
2014-02-28,1.1293,104.4836,14.0,0.7966,1.2138
2014-03-31,1.1323,99.952,13.88,0.8008,1.2181
2014-04-30,1.1349,99.282,13.41,0.8014,1.2259
2014-05-30,1.1363,98.8332,11.4,0.8012,1.2311
2014-06-30,1.1382,98.8193,11.57,0.8091,1.2338
2014-07-31,1.138,98.0908,16.95,0.7996,1.2351
2014-08-29,1.1338,101.1509,11.98,0.8038,1.2398
2014-09-30,1.1346,102.6797,16.31,0.7913,1.2287
2014-10-31,1.1294,113.0387,14.03,0.793,1.2293
2014-11-28,1.1287,112.2512,13.33,0.7809,1.2277
2014-12-31,1.1258,118.6777,19.2,0.7685,1.2267
2015-01-30,1.1207,124.1859,20.97,0.7541,1.232
2015-02-27,1.1256,121.3661,13.34,0.7844,1.2387
2015-03-31,1.1285,120.8252,15.29,0.7752,1.2348
2015-04-30,1.1341,118.4654,14.55,0.7887,1.2327
2015-05-29,1.136,118.4956,13.84,0.7925,1.2268
2015-06-30,1.1327,125.9939,18.23,0.7877,1.215
2015-07-31,1.124,136.3412,12.12,0.7766,1.2131
2015-08-31,1.1165,146.873,28.43,0.7627,1.2054
2015-09-30,1.1147,151.8625,24.5,0.7364,1.2038
2015-10-30,1.1162,153.1215,15.07,0.7594,1.2133
2015-11-30,1.1214,147.0925,16.13,0.7456,1.2156
2015-12-31,1.1134,158.0132,18.21,0.728,1.2081
2016-01-29,1.0977,176.0898,20.2,0.7014,1.1871
2016-02-29,1.0933,184.6281,20.55,0.6992,1.1861
2016-03-31,1.1183,162.6811,13.95,0.7291,1.2171
2016-04-29,1.1401,141.0237,15.7,0.7584,1.2351
2016-05-31,1.134,148.2425,14.19,0.7631,1.2341
2016-06-30,1.1314,154.6207,15.63,0.7535,1.2347
2016-07-29,1.1376,148.5261,11.87,0.7708,1.2476
2016-08-31,1.1437,143.7911,13.42,0.7912,1.257
2016-09-30,1.1462,143.2922,13.29,0.7976,1.2555
2016-10-31,1.1553,139.5117,17.06,0.8096,1.2592
2016-11-28,1.1805,131.8386,13.15,0.8254,1.2579
2016-11-29,1.18,130.7234,12.9,0.8238,1.2587
2016-11-30,1.1684,129.5644,13.33,0.8278,1.259
2016-12-01,1.1745,129.5361,14.07,0.831,1.259
2016-12-02,1.1718,129.3366,14.12,0.8295,1.2595
2016-12-05,1.1709,128.6912,12.14,0.831,1.2604
2016-12-06,1.1715,127.648,11.79,0.8341,1.2606
2016-12-07,1.1683,127.8046,12.22,0.8351,1.2621
2016-12-08,1.1729,126.5379,12.64,0.838,1.2614
2016-12-09,1.1781,126.6013,11.75,0.8426,1.2605
2016-12-12,1.1802,126.0127,12.64,0.844,1.2611
2016-12-13,1.1805,125.8107,12.72,0.8454,1.2629
2016-12-14,1.1828,125.9805,13.19,0.8475,1.2635
2016-12-15,1.1863,126.1686,12.79,0.8463,1.2626
2016-12-16,1.1865,124.6897,12.2,0.8468,1.2632
2016-12-19,1.183,125.3409,11.71,0.8451,1.2646
2016-12-20,1.1846,124.9359,11.45,0.8465,1.2648
2016-12-21,1.1852,125.3224,11.27,0.8459,1.2657
2016-12-22,1.1863,124.4491,11.43,0.8466,1.2662
2016-12-23,1.1844,124.4519,11.44,0.8466,1.2665
2016-12-27,1.1841,124.1797,11.99,0.8488,1.267
2016-12-28,1.1791,124.8096,12.95,0.8467,1.2676
2016-12-29,1.1781,122.21,13.37,0.8457,1.268
2016-12-30,1.1753,123.7665,14.04,0.844,1.2688
2017-01-03,1.178,123.3712,12.85,0.8468,1.2698
2017-01-04,1.1752,123.6178,11.85,0.8499,1.2708
2017-01-05,1.1715,123.9612,11.67,0.8473,1.2715
2017-01-06,1.1759,124.1695,11.32,0.8506,1.2706
2017-01-09,1.1736,123.8593,11.56,0.8492,1.271
2017-01-10,1.1723,123.9919,11.49,0.8501,1.2705
