,main_cad_ig_oas,short_cad_ig_oas,long_cad_ig_oas,main_us_ig_oas,main_us_hy_oas,spx_price_close,tsx_price_close,cad_3m_tbill_close,cad_long_only_agg_close,main_cad_ig_er_index,short_cad_ig_er_index,long_cad_ig_er_index,main_us_ig_er_index,main_us_hy_er_index,cad_3m_tbill_index,ytm_1x_index,ytm_3x_index,ytm_5x_index,ytm_8x_index,ytm_10x_index,ytm_1x_index_net_fees,ytm_3x_index_net_fees,ytm_5x_index_net_fees,ytm_8x_index_net_fees,ytm_10x_index_net_fees
2002-11-29,0.698153,1.102083,0.698153,1.975299,8.558746,936.31,6570.42,2.742,114.0627,100.65102348453101,101.086986,100.65102348453101,97.27261789514462,88.46605156330855,102.18896823338511,102.09444672321264,102.09444672321264,102.09444672321264,102.09444672321264,102.09444672321264,100.73909447425795,100.73909447425795,100.73909447425795,100.73909447425795,100.73909447425795
2002-12-31,0.773398,1.108715,0.77327,1.872983,8.607688,879.82,6614.54,2.644,116.2796,100.88380011305391,101.32716059177712,100.88380011305391,97.66382112798587,87.55723893093817,102.41144129375554,102.55067679164462,103.03581326736186,103.52094974307909,104.24865445665492,104.73379093237214,101.0292935401669,101.43618519005047,101.84307683993401,102.4534143147594,102.86030596464295
2003-01-31,0.74888,1.03798,0.74888,1.693134,7.838509,855.7,6569.49,2.819,115.2718,100.76943319305576,101.65846595567763,100.76943319305576,98.43555478270994,90.82995078098163,102.6489692816183,103.11518965666136,104.2767808277442,105.4447169241438,107.20851780371217,108.39231621340369,101.4092962656745,102.38154348548622,103.35831405629459,104.83195119562596,105.82003014392598
2003-02-28,1.069295,1.165063,1.069295,1.659145,8.000364,841.15,6555.12,3.055,116.0731,100.83297335915562,101.84475102820277,100.83297335915562,98.67053817037613,90.46833858093238,102.90670718968066,103.55436115563413,105.10306564710939,106.66670287189552,109.04031018606939,110.6415844482062,101.68335302824177,102.97716486972507,104.2815979226787,106.25825474620795,107.58942577302109
2003-03-31,1.173892,1.375883,1.173892,1.608295,7.299734,848.18,6343.29,3.128,115.4664,100.57929272313,101.6571326278586,100.57929272313,99.02221970252299,93.2272031345598,103.17118009916224,103.62100220425651,104.78346160909011,105.94934122701693,107.70436322914227,108.87837104443194,101.63900781568074,102.55284634554829,103.46768934858008,104.84167167115885,105.7586936966792
2003-04-30,0.953759,0.976942,0.953759,1.338094,6.135286,916.92,6586.07,3.201,117.2105,101.13551129878282,102.23364750870374,101.13551129878282,100.62031554096929,98.49526355475874,103.44243225355567,104.47235520460434,106.83285505578549,109.22325082667574,112.8649335111309,115.33012849522333,102.25554219060362,104.16363485798155,106.09037807423829,109.01535406941622,110.98850057974656
2003-05-30,0.986377,0.957543,0.986377,1.307369,6.598579,963.59,6859.8,3.218,121.124,100.61008703370781,102.21868254738142,100.61008703370781,100.83525260940267,97.0504424433898,103.71582117634885,104.7243675754134,107.05928513158274,109.42277109905612,113.02154261039001,115.4563942007702,102.37136737692147,104.25570064321033,106.15774665923077,109.04388799491204,110.98993191666034
2003-06-30,0.892583,0.875063,0.892407,1.233295,5.874606,974.5,6983.14,3.102,121.3342,101.04085415184699,102.56912396769276,101.04085415184699,101.23166623798603,100.23473345425829,103.9801886606885,105.34151046676692,108.42426114135648,111.56816000996257,116.39992276725006,119.69920551131085,102.79020623718492,105.28987155610592,107.82949308428347,111.71437823730952,114.35495183777253
2003-07-31,0.893653,0.957749,0.893653,1.187195,5.23912,990.31,7257.92,2.849,119.362,101.78647199974951,102.79090713306562,101.78647199974951,101.3140161738373,102.63298376669425,104.2238888817757,105.80729994182154,109.37256886470159,113.0264483196831,118.67643389537396,122.55788931453158,103.08220770694602,105.9760064666722,108.92854560897982,113.46899977165752,116.57140168336895
2003-08-29,0.765785,0.744553,0.765785,1.179065,5.125761,1008.01,7510.32,2.717,120.048,101.73973674113081,102.9997217213611,101.73973674113081,101.58883550840964,103.4750576349347,104.45698051559545,106.24995663412147,110.2745110689777,114.41773744169825,120.8605267426822,125.31135599217811,103.35417667764011,106.62159477742767,109.96830121981887,115.13988720707789,118.69054878508585
