Date,tsx_expected_12m_forward_sales,tsx_expected_12m_forward_eps,cad_ig_sprds,us_ig_sprds,us_hy_sprds,cad_ig_er_index,vix,financial_conditions,tsx_price
11/30/2005,7339.5171,805.6799,0.602946,0.944138,3.434833,104.53,12.06,0.255,10824.1396
12/31/2005,9871.8223,1042.6443,0.623236,0.989635,3.400323,104.6,12.07,0.339,11272.2598
1/31/2006,9785.5254,1129.2974,0.587572,0.874485,3.233247,104.59,12.95,0.69,11945.6396
2/28/2006,9619.333,1149.5524,0.59464,0.83585,3.202218,104.56,12.34,0.775,11688.3398
3/31/2006,8991.625,1060.3462,0.596169,0.870614,2.99397,104.54,11.39,0.679,12110.6104
4/30/2006,9020.4141,1078.0979,0.587984,0.848616,2.907923,104.62,11.59,0.797,12204.1699
5/31/2006,9120.5723,1102.1295,0.594859,0.892059,2.969859,104.66,16.44,0.564,11744.5195
6/30/2006,8871.2959,1076.9861,0.608809,0.936823,3.174388,104.48,13.08,0.429,11612.8701
7/31/2006,7031.5845,857.686,0.638298,0.948881,3.309616,104.52,14.95,0.476,11830.96
8/31/2006,7086.0879,871.6071,0.628265,0.938357,3.314004,104.7,12.31,0.604,12073.75
9/30/2006,7121.3809,884.7812,0.62267,0.936717,3.278807,104.85,11.98,0.481,11761.2695
10/31/2006,7148.9907,892.7671,0.609881,0.923367,3.129956,105.01,11.1,0.79,12344.5898
11/30/2006,7148.6123,889.9435,0.593404,0.880643,3.050876,105.2,10.91,0.732,12752.3799
12/31/2006,7081.9961,889.6304,0.58409,0.873743,2.716911,105.29,11.56,0.808,12908.3896
1/31/2007,7207.7598,890.7033,0.566989,0.852762,2.570996,105.53,10.42,1.007,13034.1201
2/28/2007,7415.6006,896.4327,0.544802,0.842843,2.641189,105.68,15.42,0.769,13045.0195
3/31/2007,7375.7476,896.1649,0.568919,0.906119,2.714062,105.48,14.64,0.68,13165.5
4/30/2007,7417.0679,897.7816,0.664799,0.913124,2.606559,104.84,14.22,0.528,13416.6797
5/31/2007,7676.0054,904.9646,0.679946,0.901469,2.345811,104.91,13.05,0.565,14056.7803
6/30/2007,7600.1528,916.9483,0.712907,0.960663,2.850625,104.62,16.23,0.407,13906.5703
7/31/2007,7641.5,920.1539,0.871666,1.252401,4.120214,103.74,23.52,-0.128,13868.6299
8/31/2007,7923.1841,919.6435,0.967682,1.490523,4.333284,103.39,23.38,-2.053,13660.4805
9/30/2007,7836.2949,912.2382,1.11097,1.450945,4.040639,102.7,18,-1.467,14098.8896
10/31/2007,7719.0952,919.3338,1.035735,1.426646,4.160472,103,18.53,-0.854,14625
11/30/2007,7281.3208,927.8182,1.389825,1.942845,5.491536,101.19,22.87,-3.141,13689.1201
12/31/2007,7175.5278,945.9476,1.357776,1.968669,5.632825,101.49,22.5,-2.369,13833.0596
1/31/2008,7270.5229,956.8646,1.439375,2.264947,6.646551,100.86,26.2,-2.187,13155.0996
2/29/2008,7499.0005,945.5573,1.558427,2.484501,7.433783,100.3,26.54,-3.1,13582.6904
3/31/2008,7842.1099,961.2623,1.798459,2.896827,7.789534,99.06,25.61,-3.302,13350.1299
4/30/2008,8076.4541,1010.3737,1.675598,2.466356,6.504152,99.71,20.79,-2.94,13937.04
5/31/2008,8063.3301,1028.7078,1.625638,2.382272,6.270915,100.14,17.83,-1.618,14714.7305
6/30/2008,8217.5771,1073.2579,1.707623,2.651513,7.128753,99.86,23.95,-2.507,14467.0303
7/31/2008,8329.2197,1143.5969,1.770386,2.90049,7.599893,99.74,22.94,-2.66,13592.9102
8/31/2008,8596.6484,1161.7496,1.981831,3.04068,7.930242,98.75,20.65,-2.58,13771.25
9/30/2008,8570.8438,1153.2002,2.454849,4.405173,10.176472,96.61,39.39,-7.713,11752.9004
10/31/2008,8726.1143,1080.1794,3.01755,5.829974,14.772878,94.05,59.89,-9.511,9762.7598
11/30/2008,8399.2197,972.4675,3.265419,6.09607,18.281837,93.22,55.84,-9.112,9270.6201
12/31/2008,7887.9536,874.7946,3.868321,5.574265,16.531887,90.64,40,-7.031,8987.7002
1/31/2009,7689.021,817.1749,3.554325,4.855796,14.900415,92.01,44.84,-5.587,8694.9004
2/28/2009,7646.3237,759.336,3.447549,5.152639,15.407917,92.16,46.35,-5.937,8123.02
3/31/2009,7318.8237,724.4678,3.318192,5.5337,14.877394,92.79,44.14,-5.923,8720.3896
4/30/2009,7279.8433,706.4338,2.889757,4.499032,12.210525,94.87,36.5,-4.382,9324.8301
5/31/2009,7450.5122,700.0901,2.336605,3.578916,10.766647,97.96,28.92,-2.695,10370.0703
