Date,Open,High,Low,Close,TrndrUp,TrndrDn
12/30/1927,17.66,17.66,17.66,17.66,,
1/3/1928,17.76,17.76,17.76,17.76,,
1/4/1928,17.72,17.72,17.72,17.72,,
1/5/1928,17.55,17.55,17.55,17.55,,
1/6/1928,17.66,17.66,17.66,17.66,,
1/9/1928,17.5,17.5,17.5,17.5,,
1/10/1928,17.37,17.37,17.37,17.37,,
1/11/1928,17.35,17.35,17.35,17.35,,
1/12/1928,17.47,17.47,17.47,17.47,,
1/13/1928,17.58,17.58,17.58,17.58,,
1/16/1928,17.29,17.29,17.29,17.29,,
1/17/1928,17.3,17.3,17.3,17.3,,
1/18/1928,17.26,17.26,17.26,17.26,,
1/19/1928,17.38,17.38,17.38,17.38,,
1/20/1928,17.48,17.48,17.48,17.48,,18.11
1/23/1928,17.64,17.64,17.64,17.64,,18.11
1/24/1928,17.71,17.71,17.71,17.71,,18.11
1/25/1928,17.52,17.52,17.52,17.52,,18.11
1/26/1928,17.63,17.63,17.63,17.63,,18.11
1/27/1928,17.69,17.69,17.69,17.69,,18.11
1/30/1928,17.49,17.49,17.49,17.49,,18.11
1/31/1928,17.57,17.57,17.57,17.57,,18.11
2/1/1928,17.53,17.53,17.53,17.53,,18.11
2/2/1928,17.63,17.63,17.63,17.63,,18.11
2/3/1928,17.4,17.4,17.4,17.4,,18.11
2/6/1928,17.45,17.45,17.45,17.45,,18.11
2/7/1928,17.44,17.44,17.44,17.44,,18.11
2/8/1928,17.49,17.49,17.49,17.49,,18.11
2/9/1928,17.55,17.55,17.55,17.55,,18.11
2/10/1928,17.54,17.54,17.54,17.54,,18.11
2/14/1928,17.44,17.44,17.44,17.44,,18.11
2/15/1928,17.4,17.4,17.4,17.4,,18.11
2/16/1928,17.35,17.35,17.35,17.35,,18.05
2/17/1928,17.04,17.04,17.04,17.04,,18.05
2/20/1928,16.95,16.95,16.95,16.95,,18.02
2/21/1928,17.11,17.11,17.11,17.11,,17.98
2/23/1928,17.13,17.13,17.13,17.13,,17.98
2/24/1928,17.18,17.18,17.18,17.18,,17.98
2/27/1928,17.11,17.11,17.11,17.11,,17.98
2/28/1928,17.16,17.16,17.16,17.16,,17.91
2/29/1928,17.26,17.26,17.26,17.26,,17.91
3/1/1928,17.3,17.3,17.3,17.3,,17.91
3/2/1928,17.3,17.3,17.3,17.3,,17.91
3/5/1928,17.57,17.57,17.57,17.57,,17.91
3/6/1928,17.67,17.67,17.67,17.67,,17.91
3/7/1928,17.58,17.58,17.58,17.58,,17.91
3/8/1928,17.64,17.64,17.64,17.64,,17.91
3/9/1928,17.93,17.93,17.93,17.93,16.7,
3/12/1928,18,18,18,18,16.97,
3/13/1928,17.92,17.92,17.92,17.92,17.01,
3/14/1928,17.93,17.93,17.93,17.93,17.03,
3/15/1928,18.07,18.07,18.07,18.07,17.11,
3/16/1928,18.26,18.26,18.26,18.26,17.2,
3/19/1928,18.36,18.36,18.36,18.36,17.32,
3/20/1928,18.46,18.46,18.46,18.46,17.44,
3/21/1928,18.65,18.65,18.65,18.65,17.55,
3/22/1928,18.6,18.6,18.6,18.6,17.62,
3/23/1928,18.78,18.78,18.78,18.78,17.78,
3/26/1928,19.05,19.05,19.05,19.05,17.94,
3/27/1928,18.94,18.94,18.94,18.94,18,
3/28/1928,18.89,18.89,18.89,18.89,18.01,
3/29/1928,18.95,18.95,18.95,18.95,18.04,
3/30/1928,19.28,19.28,19.28,19.28,18.12,
4/2/1928,18.91,18.91,18.91,18.91,18.12,
4/3/1928,19.02,19.02,19.02,19.02,18.12,
4/4/1928,18.99,18.99,18.99,18.99,18.12,
4/5/1928,19.23,19.23,19.23,19.23,18.12,
4/9/1928,19.27,19.27,19.27,19.27,18.12,
4/10/1928,19.1,19.1,19.1,19.1,18.12,
4/11/1928,19.44,19.44,19.44,19.44,18.12,
4/12/1928,19.41,19.41,19.41,19.41,18.12,
4/13/1928,19.73,19.73,19.73,19.73,18.18,
4/16/1928,19.68,19.68,19.68,19.68,18.23,
4/17/1928,19.52,19.52,19.52,19.52,18.24,
4/18/1928,19.52,19.52,19.52,19.52,18.24,
4/19/1928,19.63,19.63,19.63,19.63,18.25,
4/20/1928,19.34,19.34,19.34,19.34,18.25,
4/23/1928,19.15,19.15,19.15,19.15,18.25,
4/24/1928,19.25,19.25,19.25,19.25,18.25,
4/25/1928,19.33,19.33,19.33,19.33,18.25,
4/26/1928,19.47,19.47,19.47,19.47,18.27,
4/27/1928,19.68,19.68,19.68,19.68,18.4,
4/30/1928,19.75,19.75,19.75,19.75,18.52,
5/1/1928,19.78,19.78,19.78,19.78,18.56,
5/2/1928,19.83,19.83,19.83,19.83,18.75,
5/3/1928,19.93,19.93,19.93,19.93,18.86,
5/4/1928,20.24,20.24,20.24,20.24,19.03,
5/7/1928,20.41,20.41,20.41,20.41,19.22,
5/8/1928,20.27,20.27,20.27,20.27,19.27,
5/9/1928,20.24,20.24,20.24,20.24,19.32,
5/10/1928,20.21,20.21,20.21,20.21,19.32,
5/11/1928,20.36,20.36,20.36,20.36,19.45,
5/14/1928,20.44,20.44,20.44,20.44,19.54,
5/15/1928,20.39,20.39,20.39,20.39,19.55,
5/16/1928,20.05,20.05,20.05,20.05,19.55,
5/17/1928,20.12,20.12,20.12,20.12,19.55,
5/18/1928,19.92,19.92,19.92,19.92,19.55,
5/21/1928,19.63,19.63,19.63,19.63,19.55,
5/22/1928,19.36,19.36,19.36,19.36,,20.81
5/23/1928,19.75,19.75,19.75,19.75,,20.81
5/24/1928,19.87,19.87,19.87,19.87,,20.81
5/25/1928,19.9,19.9,19.9,19.9,,20.81
5/28/1928,19.57,19.57,19.57,19.57,,20.81
5/29/1928,19.82,19.82,19.82,19.82,,20.81
5/31/1928,20,20,20,20,,20.81
6/1/1928,20.07,20.07,20.07,20.07,,20.81
6/4/1928,19.8,19.8,19.8,19.8,,20.81
6/5/1928,19.85,19.85,19.85,19.85,,20.81
6/6/1928,19.66,19.66,19.66,19.66,,20.81
6/7/1928,19.61,19.61,19.61,19.61,,20.81
6/8/1928,19.37,19.37,19.37,19.37,,20.73
6/11/1928,18.68,18.68,18.68,18.68,,20.73
6/12/1928,18.34,18.34,18.34,18.34,,20.64
6/13/1928,18.89,18.89,18.89,18.89,,20.64
6/14/1928,19.05,19.05,19.05,19.05,,20.64
6/15/1928,18.74,18.74,18.74,18.74,,20.64
6/18/1928,18.4,18.4,18.4,18.4,,20.52
6/19/1928,18.34,18.34,18.34,18.34,,20.44
6/20/1928,18.57,18.57,18.57,18.57,,20.44
6/21/1928,18.56,18.56,18.56,18.56,,20.44
6/22/1928,18.54,18.54,18.54,18.54,,20.44
6/25/1928,18.47,18.47,18.47,18.47,,20.44
6/26/1928,18.68,18.68,18.68,18.68,,20.44
6/27/1928,18.86,18.86,18.86,18.86,,20.44
6/28/1928,19.07,19.07,19.07,19.07,,20.44
6/29/1928,19.14,19.14,19.14,19.14,,20.44
7/2/1928,18.98,18.98,18.98,18.98,,20.44
7/3/1928,19.29,19.29,19.29,19.29,,20.44
7/5/1928,19.48,19.48,19.48,19.48,,20.36
7/6/1928,19.39,19.39,19.39,19.39,,20.36
7/9/1928,19.46,19.46,19.46,19.46,,20.36
7/10/1928,19.43,19.43,19.43,19.43,,20.34
7/11/1928,18.95,18.95,18.95,18.95,,20.34
7/12/1928,18.81,18.81,18.81,18.81,,20.34
7/13/1928,18.96,18.96,18.96,18.96,,20.25
7/16/1928,18.7,18.7,18.7,18.7,,20.09
7/17/1928,18.8,18.8,18.8,18.8,,20.04
7/18/1928,19.03,19.03,19.03,19.03,,20.04
7/19/1928,18.99,18.99,18.99,18.99,,20.04
7/20/1928,19.03,19.03,19.03,19.03,,20.04
7/23/1928,19.12,19.12,19.12,19.12,,20.04
7/24/1928,19.09,19.09,19.09,19.09,,20.04
7/25/1928,19.2,19.2,19.2,19.2,,20.04
7/26/1928,19.24,19.24,19.24,19.24,,20.04
